"","sesso","titolo","giuridica2","area","corso","aula","edizione","ore","trimestre","iscritti","formati","esito"
"888","F","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA PROGETTAZIONE GEOTECNICA DEGLI EDIFICI AI SENSI DEL DM 14/01/2008            ","FUORI","A09MD",40,3,1,1,1
"889","F","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LE ACQUE REFLUE E LA TUTELA DELLE ACQUE                                         ","FUORI","A09MD",22,1,1,1,1
"890","F","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LE INDAGINI E LE TECNICHE DI MICROZONAZIONE SISMICA APPLICATE AI CENTRI URBANI E","FUORI","A09MD",40,2,1,1,1
"891","F","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","IMPLICAZIONI GEOLOGICHE E GEOTECNICHE NELLA PROGETTAZIONE E CONSOLIDAMENTO DELLE","FUORI","A09MD",24,4,1,1,1
"892","F","DIPLOMA DI MATURITA                ","Categoria C","ORGANIZZAZIONE E RISORSE UMANE          ","CORSO D'AGGIORNAMENTO PER ADDETTO ALLA SEGRETERIA LEGALE                        ","FUORI","A09MD",30,3,1,1,1
"893","M","LAUREA                             ","Categoria D","MANAGERIALE                             ","AER REGIONE TOSCANA E-PROCUREMENT E PROCESSI DI CHANGE MANAGEMENT               ","FUORI","A09RP",12,1,1,NA,0
"894","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LE ACQUE REFLUE E LA TUTELA DELLE ACQUE                                         ","FUORI","B09MD",22,2,1,1,1
"895","M","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE, IL MONITORAGGIO E LA VALUTAZIONE DI PIANI E PROGRAMMI           ","FUORI","B09MS",16,4,1,1,1
"896","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,1,1
"897","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","IMPLICAZIONI GEOLOGICHE E GEOTECNICHE NELLA PROGETTAZIONE E CONSOLIDAMENTO DELLE","FUORI","A09MD",24,4,1,1,1
"898","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","I SOFTWARE GIS OPEN SOURCE E USO DELLA BASE GEOGRAFICA REGIONALE                ","FUORI","A09MD",30,3,1,1,1
"899","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA PROGETTAZIONE GEOTECNICA DEGLI EDIFICI AI SENSI DEL DM 14/01/2008            ","FUORI","A09MD",40,3,1,1,1
"900","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LE INDAGINI E LE TECNICHE DI MICROZONAZIONE SISMICA APPLICATE AI CENTRI URBANI E","FUORI","A09MD",40,2,1,1,1
"901","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","IMPLICAZIONI GEOLOGICHE E GEOTECNICHE NELLA PROGETTAZIONE E CONSOLIDAMENTO DELLE","FUORI","A09MD",24,4,1,1,1
"902","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,NA,0
"903","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA PROGETTAZIONE GEOTECNICA DEGLI EDIFICI AI SENSI DEL DM 14/01/2008            ","FUORI","A09MD",40,3,1,1,1
"904","M","LAUREA                             ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","GESTIONE PROGETTI - CORSO AVANZATO                                              ","DENTRO","A09MS",24,3,1,1,1
"905","M","LAUREA                             ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","GESTIONE PROGETTI - CORSO BASE                                                  ","DENTRO","C09MS",24,4,1,NA,0
"906","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","IMPLICAZIONI GEOLOGICHE E GEOTECNICHE NELLA PROGETTAZIONE E CONSOLIDAMENTO DELLE","FUORI","A09MD",24,4,1,1,1
"907","M","DIPLOMA DI MATURITA                ","Categoria B","GIURIDICA                               ","LA SICUREZZA                                                                    ","FUORI","A09GR",32,4,1,NA,0
"908","F","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","IL WEB 2.0 E SUE APPLICAZIONI                                                   ","FUORI","A09MM",18,4,1,1,1
"909","M","LICENZA SCUOLA MEDIA               ","Categoria B","COMPETENZE TRASVERSALI                  ","GLI AUTISTI DI RAPPRESENTANZA                                                   ","FUORI","A09AT",8,4,1,NA,0
"910","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","SOLUZIONE DEI PROBLEMI                                                          ","FUORI","E09FV",16,4,1,1,1
"911","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","DRAW                                                                            ","FUORI","A09AT",2,4,1,1,1
"912","M","DIPLOMA DI MATURITA                ","Categoria B","COMPETENZE TRASVERSALI                  ","GLI AUTISTI DI RAPPRESENTANZA                                                   ","FUORI","B09AT",8,4,1,1,1
"913","M","LICENZA SCUOLA MEDIA               ","Categoria B","TECNICO-SPECIALISTICA                   ","GUIDA SICURA                                                                    ","FUORI","C08RP",8,2,1,1,1
"914","M","LICENZA SCUOLA MEDIA               ","Categoria B","COMPETENZE TRASVERSALI                  ","GLI AUTISTI DI RAPPRESENTANZA                                                   ","FUORI","B09AT",8,4,1,NA,0
"915","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","LE TECNOLOGIE PER LA MULTIMEDIALITA' E LA MULTICANALITA'                        ","DENTRO","A08AT",16,1,1,1,1
"916","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","LA GOVERNANCE DELLE RETI DI PUBBLICO INTERESSE                                  ","FUORI","A09CB",40,3,1,1,1
"917","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","INTRODUZIONE AL DATAWAREHOUSING                                                 ","FUORI","B09MM",24,4,1,1,1
"918","F","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","MATERIE SPECIALISTICHE FA                                                       ","FUORI","A09CP",32,4,1,1,1
"919","F","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV","FUORI","A09MS",32,1,1,1,1
"920","F","LAUREA                             ","Categoria D","GIURIDICA                               ","LA PRIVACY IN AMBITO SANITARIO                                                  ","FUORI","B09CB",8,2,1,NA,0
"921","M","LICENZA SCUOLA MEDIA               ","Categoria C","GIURIDICA                               ","LA PRIVACY IN AMBITO SANITARIO                                                  ","FUORI","B09CB",8,2,1,NA,0
"922","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","F09FV",8,4,1,NA,0
"923","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","COMPETENZE PER LA GESTIONE DELLE RISORSE FAVORENDO L'INNOVAZIONE E IL GOVERNO DE","FUORI","A09MM",24,4,1,NA,0
"924","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","LA GOVERNANCE DELLE RETI DI PUBBLICO INTERESSE                                  ","FUORI","A09CB",40,3,1,NA,0
"925","F","DIPLOMA  INTERMEDIO                ","Categoria C","GIURIDICA                               ","LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ","DENTRO","C09AL",8,4,1,NA,0
"926","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ","FUORI","A09FV",16,4,1,1,1
"927","M","LAUREA                             ","Categoria D","GIURIDICA                               ","TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ","FUORI","A09CB",12,4,1,NA,0
"928","F","LICENZA SCUOLA MEDIA               ","Categoria B","ORGANIZZAZIONE E RISORSE UMANE          ","IL RAPPORTO DI LAVORO NELLA PUBBLICA AMMINISTRAZIONE                            ","DENTRO","B09MM",12,4,1,1,1
"929","F","LAUREA                             ","Categoria D","EUROPEA                                 ","EUROPROGETTAZIONE                                                               ","FUORI","A09AL",32,3,1,NA,0
"930","F","LAUREA                             ","Categoria C","ORGANIZZAZIONE E RISORSE UMANE          ","ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ","DENTRO","B09MS",16,3,1,1,1
"931","F","LAUREA                             ","Categoria C","ORGANIZZAZIONE E RISORSE UMANE          ","LAVORARE PER PROCESSI                                                           ","FUORI","A09MS",24,3,1,NA,0
"932","F","LAUREA                             ","Categoria C","SISTEMI INFORMATIVI E TECNOLOGIE        ","IL WEB 2.0 E SUE APPLICAZIONI                                                   ","FUORI","B09MM",18,4,1,NA,0
"933","M","DIPLOMA DI MATURITA                ","Categoria B","COMPETENZE TRASVERSALI                  ","GLI AUTISTI DI RAPPRESENTANZA                                                   ","FUORI","B09AT",8,4,1,1,1
"934","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","FORMATORE D'AULA                                                                ","DENTRO","A09MS",24,2,1,1,1
"935","M","LAUREA                             ","Categoria D","MANAGERIALE                             ","COMUNICARE IL CAMBIAMENTO                                                       ","FUORI","A09MM",16,3,1,NA,0
"936","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","PARLARE IN PUBBLICO                                                             ","FUORI","C09FV",16,4,1,1,1
"937","M","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE, IL MONITORAGGIO E LA VALUTAZIONE DI PIANI E PROGRAMMI           ","FUORI","A09MS",16,2,1,1,1
"938","M","LAUREA                             ","Categoria D","EUROPEA                                 ","I FONDI STRUTTURALI: LA RENDICONTAZIONE DEI FONDI 2007-2013                     ","FUORI","C09GR",16,4,1,1,1
"939","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"940","M","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","I SOFTWARE GIS OPEN SOURCE E USO DELLA BASE GEOGRAFICA REGIONALE                ","FUORI","A09MD",30,3,1,1,1
"941","F","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","IL MODELLO DI PROGRAMMAZIONE REGIONALE                                          ","FUORI","C09MS",24,3,1,1,1
"942","F","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","LA PROGRAMMAZIONE CONTABILE E DI BILANCIO                                       ","DENTRO","A09AT",16,4,1,1,1
"943","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"944","M","LAUREA                             ","Categoria D","MANAGERIALE                             ","COMUNICARE IL CAMBIAMENTO                                                       ","FUORI","A09MM",16,3,1,NA,0
"945","F","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","E09FV",8,4,1,1,1
"946","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","AUTOCAD - CORSO AVANZATO                                                        ","FUORI","B09AT",16,4,1,1,1
"947","M","DIPLOMA DI MATURITA                ","Categoria C","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","A09FV",8,2,1,1,1
"948","M","DIPLOMA DI MATURITA                ","Categoria C","SISTEMI INFORMATIVI E TECNOLOGIE        ","INTRODUZIONE AL DATAWAREHOUSING                                                 ","FUORI","A09MM",24,2,1,1,1
"949","M","DIPLOMA DI MATURITA                ","Categoria B","TECNICO-SPECIALISTICA                   ","GUIDA SICURA                                                                    ","FUORI","B08RP",8,2,1,1,1
"950","F","LAUREA                             ","Qualifica dirigenziale","GIURIDICA                               ","TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ","FUORI","A09CB",12,4,1,1,1
"951","F","LAUREA                             ","Qualifica dirigenziale","MANAGERIALE                             ","AER REGIONE TOSCANA E-PROCUREMENT E PROCESSI DI CHANGE MANAGEMENT               ","FUORI","A09RP",12,1,1,1,1
"952","F","LAUREA                             ","Categoria D","COMUNICAZIONE                           ","LA COMUNICAZIONE PUBBLICA E ISTITUZIONALE                                       ","DENTRO","A09GR",16,3,1,1,1
"953","F","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","B09AL",8,4,1,NA,0
"954","F","LAUREA                             ","Categoria D","GIURIDICA                               ","IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE","FUORI","A09CB",16,4,1,NA,0
"955","F","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","A09AL",8,3,1,1,1
"956","F","LAUREA                             ","Categoria D","GIURIDICA                               ","TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ","FUORI","A09CB",12,4,1,NA,0
"957","F","LAUREA                             ","Categoria D","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","B09FV",12,2,1,NA,0
"958","F","DIPLOMA DI MATURITA                ","Categoria D","EUROPEA                                 ","I FONDI STRUTTURALI                                                             ","DENTRO","C09AL",16,4,1,NA,0
"959","F","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","SEMINARIO SU INTRODUZIONE AL PROTOCOLLO INTEROPERABILE E GESTIONE DOCUMENTALE   ","FUORI","A09BB",4,3,1,1,1
"960","F","DIPLOMA DI MATURITA                ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ","FUORI","B09FV",16,4,1,1,1
"961","F","DIPLOMA DI MATURITA                ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV","FUORI","B09MS",32,4,1,1,1
"962","F","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","TESTO UNICO SULLA SICUREZZA (D.LGS. 81/2008)                                    ","FUORI","A09CB",12,4,1,1,1
"963","F","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","E09FV",8,4,1,NA,0
"964","F","LAUREA                             ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","ELEMENTI DI ORGANIZZAZIONE - CORSO BASE                                         ","DENTRO","B09MS",16,3,1,NA,0
"965","F","LICENZA SCUOLA MEDIA               ","Categoria C","COMPETENZE TRASVERSALI                  ","SOLUZIONE DEI PROBLEMI                                                          ","FUORI","C09FV",16,4,1,1,1
"966","F","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ","DENTRO","A09AL",29,2,1,1,1
"967","F","DIPLOMA DI MATURITA                ","Categoria C","COMUNICAZIONE                           ","UTILIZZO DELLE RISORSE IN LINEA DELLA SEZIONE INTRANET DELLA BIBLIOTECA DELLA GI","FUORI","A09FV",8,3,1,1,1
"968","F","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","MATERIE SPECIALISTICHE FA                                                       ","FUORI","A09CP",32,4,1,1,1
"969","F","DIPLOMA DI MATURITA                ","Categoria D","COMUNICAZIONE                           ","QUALITA' ED EFFICACIA SITO WEB: STRUMENTI E TECNICHE                            ","DENTRO","A09GR",16,3,1,1,1
"970","F","DIPLOMA DI MATURITA                ","Categoria D","ECONOMICO FINANZIARIA                   ","L'ORDINAMENTO CONTABILE DELLA REGIONE TOSCANA                                   ","DENTRO","E09AT",20,4,1,NA,0
"971","M","LAUREA                             ","Qualifica dirigenziale","MANAGERIALE                             ","SVILUPPO DEL RUOLO DIRIGENZIALE                                                 ","FUORI","A09MM",24,4,1,1,1
"972","M","LAUREA                             ","Qualifica dirigenziale","MANAGERIALE                             ","SVILUPPO DEL RUOLO DIRIGENZIALE                                                 ","FUORI","A09MM",24,4,1,NA,0
"973","F","LAUREA                             ","Categoria D","GIURIDICA                               ","IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ","FUORI","C09MM",8,4,1,NA,0
"974","F","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","B09AL",8,4,1,NA,0
"975","F","LAUREA                             ","Categoria D","GIURIDICA                               ","LA BUONA QUALITA' DELLA NORMAZIONE                                              ","FUORI","A09MD",60,1,1,1,1
"976","F","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","IL MODELLO DI PROGRAMMAZIONE REGIONALE                                          ","FUORI","D09MS",24,4,1,NA,0
"977","F","LAUREA                             ","Categoria D","EUROPEA                                 ","EUROPROGETTAZIONE                                                               ","FUORI","A09AL",32,3,1,NA,0
"978","F","LAUREA                             ","Categoria D","EUROPEA                                 ","I FONDI STRUTTURALI                                                             ","DENTRO","C09AL",16,4,1,NA,0
"979","M","LAUREA                             ","Categoria D","GIURIDICA                               ","L'INFORMATIZZAZIONE DELLE PROCEDURE DI GARA                                     ","FUORI","B09AL",16,2,1,NA,0
"980","M","DIPLOMA DI MATURITA                ","Categoria C","COMUNICAZIONE                           ","SCRITTURA, WEB, DOCUMENTI, INFORMAZIONE                                         ","DENTRO","A09GR",16,2,1,1,1
"981","M","DIPLOMA DI MATURITA                ","Categoria D","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","B09FV",12,2,1,1,1
"982","M","DIPLOMA DI MATURITA                ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI NEGOZIAZIONE                                                        ","FUORI","C09FV",16,4,1,NA,0
"983","M","DIPLOMA DI MATURITA                ","Categoria D","GIURIDICA                               ","IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ","FUORI","C09MS",8,4,1,1,1
"984","F","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","STRUMENTI DI RILEVAZIONE ED ELABORAZIONE STATISTICA DEI DATI                    ","FUORI","B09MM",24,4,1,NA,0
"985","M","LAUREA                             ","Qualifica dirigenziale","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,NA,0
"986","M","LAUREA                             ","Categoria D","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","E09CP",12,4,1,1,1
"987","F","LAUREA                             ","Categoria D","MANAGERIALE                             ","LA GOVERNANCE DELLE RETI DI PUBBLICO INTERESSE                                  ","FUORI","A09CB",40,3,1,NA,0
"988","M","LAUREA                             ","Categoria D","GIURIDICA                               ","IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ","FUORI","D09MM",8,4,1,1,1
"989","M","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","B09AL",8,4,1,NA,0
"990","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO BASE                                                         ","FUORI","D09AT",16,4,1,1,1
"991","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","LE TECNOLOGIE PER LA MULTIMEDIALITA' E LA MULTICANALITA'                        ","DENTRO","A09MM",16,4,1,1,1
"992","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","GESTIONE DEL TEMPO                                                              ","FUORI","C09FV",16,4,1,NA,0
"993","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","PARLARE IN PUBBLICO                                                             ","FUORI","B09FV",16,4,1,NA,0
"994","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","SOLUZIONE DEI PROBLEMI                                                          ","FUORI","D09FV",16,4,1,1,1
"995","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ","FUORI","B09FV",16,4,1,NA,0
"996","M","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI NEGOZIAZIONE                                                        ","FUORI","C09FV",16,4,1,NA,0
"997","F","DIPLOMA DI MATURITA                ","Categoria C","TECNICO-SPECIALISTICA                   ","MATERIE SPECIALISTICHE FGRF                                                     ","FUORI","A09CP",32,4,1,1,1
"998","F","DIPLOMA DI MATURITA                ","Categoria C","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","B09FV",12,2,1,1,1
"999","F","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ","DENTRO","A09AL",8,2,1,1,1
"1000","M","LAUREA                             ","Categoria D","GIURIDICA                               ","IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE","FUORI","A09CB",16,4,1,NA,0
"1001","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO BASE                                                         ","FUORI","B09AT",16,2,1,1,1
"1002","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO AVANZATO                                                     ","FUORI","B09AT",24,4,1,1,1
"1003","F","LAUREA                             ","Categoria D","COMPETENZE TRASVERSALI                  ","TECNICHE DI MEMORIZZAZIONE                                                      ","FUORI","E09FV",8,4,1,1,1
"1004","F","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","B09AL",8,4,1,NA,0
"1005","F","LAUREA                             ","Categoria D","GIURIDICA                               ","IL NUOVO PROCEDIMENTO AMMINISTRATIVO                                            ","FUORI","B09MS",8,3,1,1,1
"1006","F","LAUREA                             ","Categoria D","GIURIDICA                               ","LA BUONA QUALITA' DELLA NORMAZIONE                                              ","FUORI","A09MD",60,1,1,1,1
"1007","F","LAUREA                             ","Categoria D","GIURIDICA                               ","TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ","DENTRO","D09AL",28,4,1,NA,0
"1008","F","DIPLOMA DI QUALIFICA               ","Categoria B","COMPETENZE TRASVERSALI                  ","LETTURA RAPIDA DI DOCUMENTI                                                     ","FUORI","C09FV",16,3,1,1,1
"1009","F","DIPLOMA DI QUALIFICA               ","Categoria B","COMUNICAZIONE                           ","QUALITA' ED EFFICACIA SITO WEB: STRUMENTI E TECNICHE                            ","DENTRO","A09GR",16,3,1,NA,0
"1010","M","DIPLOMA DI MATURITA                ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","GESTIONE PROGETTI - CORSO BASE                                                  ","DENTRO","B09MS",24,2,1,1,1
"1011","M","DIPLOMA DI MATURITA                ","Categoria D","ORGANIZZAZIONE E RISORSE UMANE          ","GESTIONE PROGETTI - CORSO AVANZATO                                              ","DENTRO","A09MS",24,3,1,1,1
"1012","M","DIPLOMA DI MATURITA                ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","IL WEB 2.0 E SUE APPLICAZIONI                                                   ","FUORI","B09MM",18,4,1,1,1
"1013","F","LAUREA                             ","Categoria B","COMUNICAZIONE                           ","CERIMONIALE, RELAZIONI ESTERNE ED ORGANIZZAZIONE EVENTI                         ","FUORI","B09MS",16,4,1,1,1
"1014","F","LAUREA                             ","Categoria B","EUROPEA                                 ","LA NUOVA IMPOSTAZIONE DEL F.S.E 2007-2013: MONITORAGGIO, CONTROLLI E RENDICONTAZ","FUORI","B09CB",27,4,1,NA,0
"1015","F","LAUREA                             ","Categoria D","ECONOMICO FINANZIARIA                   ","LA COSTRUZIONE E LA VALUTAZIONE DEL PIANO ECONOMICO FINANZIARIO DI UNA INIZIATIV","FUORI","A09MS",32,1,1,1,1
"1016","F","LAUREA                             ","Categoria D","EUROPEA                                 ","I FONDI STRUTTURALI                                                             ","DENTRO","D09GR",16,4,1,NA,0
"1017","F","LAUREA                             ","Categoria D","GIURIDICA                               ","IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ","FUORI","D09MM",8,4,1,NA,0
"1018","F","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO LAVORI PU","DENTRO","B09AL",28,4,1,NA,0
"1019","M","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","A09AL",8,3,1,1,1
"1020","M","DIPLOMA DI MATURITA                ","Categoria C","SISTEMI INFORMATIVI E TECNOLOGIE        ","AUTOCAD - CORSO AVANZATO                                                        ","FUORI","A09AT",16,3,1,1,1
"1021","F","DIPLOMA DI MATURITA                ","Categoria C","GIURIDICA                               ","LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ","DENTRO","B09AL",8,3,1,1,1
"1022","F","LAUREA                             ","Qualifica dirigenziale","GIURIDICA                               ","IL RIPARTO DELLA GIURISDIZIONE TRA GIUDICE ORDINARIO E GIUDICE AMMINISTRATIVO NE","FUORI","A09CB",16,4,1,1,1
"1023","F","LICENZA SCUOLA MEDIA               ","Categoria B","GIURIDICA                               ","LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ","DENTRO","C09AL",8,4,1,NA,0
"1024","F","LAUREA                             ","Categoria D","COMUNICAZIONE                           ","LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ","FUORI","E09CP",12,4,1,NA,0
"1025","F","LAUREA                             ","Categoria D","GIURIDICA                               ","L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - AGGIORNAMENTO                  ","DENTRO","B09AL",8,4,1,1,1
"1026","F","LAUREA                             ","Categoria D","GIURIDICA                               ","TECNICHE DI REDAZIONE E CONTROLLO DI ATTI AMMINISTRATIVI                        ","DENTRO","D09AL",28,4,1,NA,0
"1027","M","LAUREA                             ","Categoria D","SISTEMI INFORMATIVI E TECNOLOGIE        ","ARCGIS 9.2 - CORSO AVANZATO                                                     ","FUORI","D08EB",24,1,1,1,1
"1028","M","LAUREA                             ","Categoria D","TECNICO-SPECIALISTICA                   ","LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ","FUORI","B09MD",42,1,1,1,1
